id	reg	vb	hinc	hmem	hint	fixline	hcar	sex	agecat	marits	red	empst	hhead	pinc	sim	seg_ls	dog	cat	q40_12	q34#11	q34#12	q34#13	q34#14	q34#15	q34#16	q34#17	q34#18	q34#19	q34#20	q34#21	q34#22	q34#23	q34#24	q34#25	q34#26	q34#27	q34#28	q34#29
124	42	4	14	5	1	2	3	2	5	2	1	2	2	24	1	2	1	0	1	0	0	1	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0
125	42	2	15	4	1	2	1	1	4	2	2	2	1	17	1	6	1	0	3	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0
126	81	3	14	4	1	2	1	1	4	2	3	2	1	14	1	2	0	0	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
127	51	3	13	2	1	2	1	2	6	3	4	8	1	17	1	1	1	0	1	1	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
128	81	3	15	1	1	1	1	1	6	2	2	2	2	20	2	1	0	0	5	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0
129	51	5	13	4	1	1	2	1	5	2	4	5	1	14	1	6	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
130	81	1	13	4	1	2	1	2	6	5	1	2	2	20	1	6	0	0	2	0	1	0	1	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0
131	71	5	13	4	1	2	1	2	4	2	2	2	2	20	2	4	1	0	1	0	0	0	0	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0
132	62	3	15	3	1	2	1	1	4	1	3	2	1	16	1	6	0	0	2	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
133	51	1	14	3	1	1	2	2	3	2	4	6	2	22	1	3	0	0	6	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
134	41	4	14	5	1	2	1	2	4	4	3	2	1	17	1	3	0	0	6	0	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0
135	32	5	16	3	1	2	1	1	2	3	4	2	1	21	1	5	0	0	6	1	0	0	1	0	1	0	0	1	1	1	0	1	0	0	1	0	0	0
136	52	4	18	4	1	2	1	2	6	2	1	7	2	27	1	2	0	0	6	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
137	32	3	15	7	1	2	1	2	4	2	2	6	2	21	1	3	1	0	1	0	0	0	1	0	0	0	0	1	1	1	1	0	0	1	0	0	0	0
138	81	4	14	3	1	1	1	1	6	2	4	2	2	15	1	3	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
139	62	2	17	4	1	2	1	2	3	2	3	6	2	22	1	3	1	1	1	0	1	0	0	0	1	1	0	0	1	0	0	1	0	0	0	0	0	0
140	61	3	14	3	1	2	1	1	4	2	4	2	1	15	1	6	0	0	6	1	1	0	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0
141	81	4	16	4	1	2	1	2	5	2	3	2	2	19	1	6	0	0	6	1	1	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0
142	11	6	13	3	1	2	1	1	6	2	3	2	1	17	1	4	0	0	6	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
143	11	6	13	5	1	2	1	1	1	1	1	1	2	 	1	5	0	0	6	0	1	0	1	1	1	1	1	1	1	1	1	0	0	0	0	1	0	0
144	81	3	17	4	1	2	1	1	1	3	2	1	1	24	1	3	1	0	1	0	1	1	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0
145	61	2	15	4	1	2	2	2	1	1	3	1	2	 	1	1	1	1	1	0	1	0	1	1	1	0	0	1	0	0	0	1	0	0	0	0	0	0
146	51	2	21	3	1	2	3	2	3	4	4	6	1	21	1	1	0	0	6	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
147	62	5	13	6	1	2	2	1	3	2	1	2	1	14	1	3	1	0	6	0	0	0	1	0	1	1	1	1	1	0	0	1	0	1	0	0	1	0
148	62	4	16	3	1	2	1	2	3	2	4	6	2	22	1	3	0	0	6	0	1	0	1	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0
149	61	2	14	6	1	2	1	1	4	2	3	2	1	16	1	3	0	1	5	1	0	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0
